annotation_id,fight_id,fight_url,event_date,event_name,fighter_1_name,fighter_2_name,primary_category,controversial_decision,injury_finish,short_notice_fight,weight_miss,fighter_moving_divisions,major_layoff,affected_fighter,annotation_summary,confidence,source_name,source_url,review_status
manual-0001,dfa692db6d39330c,http://ufcstats.com/fight-details/dfa692db6d39330c,2025-12-06,UFC 323: Dvalishvili vs. Yan 2,Alexandre Pantoja,Joshua Van,injury_finish,false,true,false,false,false,false,Alexandre Pantoja,"Freak arm/elbow injury ended the flyweight title fight in 26 seconds; UFCStats records KO/TKO but not the injury context.",high,Sherdog,https://www.sherdog.com/news/news/American-Top-Team-Coach-Brings-Good-News-About-Alexandre-Pantojas-Injury-199396,reviewed
manual-0002,2a17686c6b5f334e,http://ufcstats.com/fight-details/2a17686c6b5f334e,2013-12-28,UFC 168: Weidman vs Silva 2,Chris Weidman,Anderson Silva,injury_finish,false,true,false,false,false,false,Anderson Silva,"Silva snapped his leg throwing a kick; official result is TKO but the decisive context is fight-ending injury.",high,ESPN,https://www.espn.com/mma/story/_/id/10194818/ufc-168-chris-weidman-defends-middleweight-belt-anderson-silva-retires-due-injury,reviewed
manual-0003,7d0ce28ce8a77eb1,http://ufcstats.com/fight-details/7d0ce28ce8a77eb1,2021-07-10,UFC 264: Poirier vs. McGregor 3,Dustin Poirier,Conor McGregor,injury_finish,false,true,false,false,false,false,Conor McGregor,"McGregor suffered a lower-leg injury at the end of round 1; UFCStats has doctor's stoppage but not the broken-leg context.",high,ESPN,https://www.espn.com/mma/story/_/id/31798195/dustin-poirier-wins-trilogy-rematch-tko-conor-mcgregor-injures-leg-round-1,reviewed
manual-0004,7503d5c892f238fb,http://ufcstats.com/fight-details/7503d5c892f238fb,2022-07-16,UFC Fight Night: Ortega vs. Rodriguez,Brian Ortega,Yair Rodriguez,injury_finish,false,true,false,false,false,false,Brian Ortega,"Ortega suffered a shoulder injury during a grappling exchange; official result is TKO for Rodriguez.",high,ESPN,https://www.espn.com/mma/story/_/id/34254804/yair-rodriguez-earns-tko-win-brian-ortega-suffers-shoulder-injury,reviewed
manual-0005,d0fb381cacbb0446,http://ufcstats.com/fight-details/d0fb381cacbb0446,2022-07-23,UFC Fight Night: Blaydes vs. Aspinall,Curtis Blaydes,Tom Aspinall,injury_finish,false,true,false,false,false,false,Tom Aspinall,"Aspinall suffered a right knee injury 15 seconds into the fight; official result is injury TKO for Blaydes.",high,ESPN,https://www.espn.com/mma/ufc/story/_/id/34286109/curtis-blaydes-gets-tko-win-tom-aspinally-suffers-freak-injury-early-ufc-heavyweight-bout,reviewed
manual-0006,1820fed0fbcf6294,http://ufcstats.com/fight-details/1820fed0fbcf6294,2021-04-24,UFC 261: Usman vs. Masvidal 2,Uriah Hall,Chris Weidman,injury_finish,false,true,false,false,false,false,Chris Weidman,"Weidman badly injured his leg throwing the first kick of the fight; official result is KO/TKO but needs injury context.",high,ESPN,https://www.espn.com/mma/story/_/id/31327717/social-media-fighter-reactions-chris-weidman-leg-injury-uriah-hall-ufc-261,reviewed
manual-0007,c4e16d57dd9a1b39,http://ufcstats.com/fight-details/c4e16d57dd9a1b39,2008-12-10,UFC Fight Night - Fight for the Troops,Dale Hartt,Corey Hill,injury_finish,false,true,false,false,false,false,Corey Hill,"Hill suffered a broken leg after Hartt checked a kick; official result is KO/TKO but the finish was injury-driven.",high,ESPN,https://www.espn.com/extra/mma/news/story?id=5546907,reviewed
manual-0008,00bbcd4a6d647fdf,http://ufcstats.com/fight-details/00bbcd4a6d647fdf,2021-04-24,UFC 261: Usman vs. Masvidal 2,Anthony Smith,Jimmy Crute,injury_finish,false,true,false,false,false,false,Jimmy Crute,"Doctor stopped the fight after Crute could not continue due to leg damage from Smith's attack.",medium,ESPN,https://www.espn.com/mma/story/_/id/31317415/ufc-261-kamaru-usman-vs-jorge-masvidal-2-live-updates-results,reviewed
manual-0009,7ff036c99621eb1c,http://ufcstats.com/fight-details/7ff036c99621eb1c,2013-11-16,UFC 167: St-Pierre vs Hendricks,Georges St-Pierre,Johny Hendricks,controversial_decision,true,false,false,false,false,false,Johny Hendricks,"Widely disputed split decision; use as a controversial-decision adjustment candidate.",high,MMA Decisions,https://mmadecisions.com/decision/4707/Georges-St-Pierre-vs-Johny-Hendricks,reviewed
manual-0010,f079cb2db8dbbf04,http://ufcstats.com/fight-details/f079cb2db8dbbf04,2016-01-02,UFC 195: Lawler vs Condit,Robbie Lawler,Carlos Condit,controversial_decision,true,false,false,false,false,false,Carlos Condit,"Split decision frequently cited as controversial; MMA Decisions tracks split official cards and media/fan scoring.",high,MMA Decisions,https://mmadecisions.com/decision/6727/Robbie-Lawler-vs-Carlos-Condit,reviewed
manual-0011,e60e53bdc614a0af,http://ufcstats.com/fight-details/e60e53bdc614a0af,2009-10-24,UFC 104: Machida vs Shogun,Lyoto Machida,Mauricio Rua,controversial_decision,true,false,false,false,false,false,Mauricio Rua,"First Machida-Rua fight ended in a disputed unanimous decision; useful as a robbery/controversy flag.",high,MMA Decisions,https://mmadecisions.com/decision/1332/Lyoto-Machida-vs-Mauricio-Rua,reviewed
manual-0012,8d7ea177efadc718,http://ufcstats.com/fight-details/8d7ea177efadc718,2014-06-07,UFC Fight Night: Henderson vs Khabilov,Diego Sanchez,Ross Pearson,controversial_decision,true,false,false,false,false,false,Ross Pearson,"Severely disputed split decision; fan/media scoring on MMA Decisions strongly favored Pearson.",high,MMA Decisions,https://mmadecisions.com/decision/5249/Diego-Sanchez-vs-Ross-Pearson,reviewed
manual-0013,59d456f0da1159cf,http://ufcstats.com/fight-details/59d456f0da1159cf,2007-09-08,UFC 75: Champion vs Champion,Michael Bisping,Matt Hamill,controversial_decision,true,false,false,false,false,false,Matt Hamill,"Bisping-Hamill is a long-running disputed split decision; mark for controversial-decision review.",medium,MMA Decisions,https://mmadecisions.com/decision/306/Michael-Bisping-vs-Matt-Hamill,reviewed
manual-0014,6e574bd614afffd9,http://ufcstats.com/fight-details/6e574bd614afffd9,2010-12-04,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Nam Phan,Leonard Garcia,controversial_decision,true,false,false,false,false,false,Nam Phan,"Garcia's split decision over Phan is a commonly cited judging controversy.",high,MMA Decisions,https://mmadecisions.com/decision/2051/Leonard-Garcia-vs-Nam-Phan,reviewed
manual-0015,5c3c4bcc6c746ca0,http://ufcstats.com/fight-details/5c3c4bcc6c746ca0,2022-10-22,UFC 280: Oliveira vs. Makhachev,Petr Yan,Sean O'Malley,controversial_decision,true,false,false,false,false,false,Petr Yan,"Close and disputed split decision; mark as controversial for model sensitivity checks.",high,MMA Decisions,https://mmadecisions.com/decision/13556/Sean-OMalley-vs-Petr-Yan,reviewed
manual-0016,144cd3f62591a5fb,http://ufcstats.com/fight-details/144cd3f62591a5fb,2022-12-10,UFC 282: Blachowicz vs. Ankalaev,Paddy Pimblett,Jared Gordon,controversial_decision,true,false,false,false,false,false,Jared Gordon,"Unanimous decision widely disputed; MMA Decisions lists it among heavily discussed decisions.",high,MMA Decisions,https://mmadecisions.com/decision/13677/Paddy-Pimblett-vs-Jared-Gordon,reviewed
manual-0017,9a8964b148cb5923,http://ufcstats.com/fight-details/9a8964b148cb5923,2022-04-09,UFC 273: Volkanovski vs. The Korean Zombie,Aljamain Sterling,Petr Yan,controversial_decision,true,false,false,false,false,false,Petr Yan,"Close split title decision with disputed round scoring; keep as lower-confidence controversial flag.",medium,MMA Decisions,https://mmadecisions.com/decision/13035/Aljamain-Sterling-vs-Petr-Yan,reviewed
manual-0018,256894b49303537b,http://ufcstats.com/fight-details/256894b49303537b,2023-02-11,UFC 284: Makhachev vs. Volkanovski,Islam Makhachev,Alexander Volkanovski,controversial_decision,true,false,false,false,false,false,Alexander Volkanovski,"Very close title decision with split public scoring; tag as close/controversial rather than clear robbery.",medium,MMA Decisions,https://mmadecisions.com/decision/13772/Islam-Makhachev-vs-Alexander-Volkanovski,reviewed
manual-0019,7d4e49d8a6678157,http://ufcstats.com/fight-details/7d4e49d8a6678157,2022-05-07,UFC 274: Oliveira vs. Gaethje,Charles Oliveira,Justin Gaethje,weight_miss,false,false,false,true,false,false,Charles Oliveira,"Oliveira missed championship weight and was stripped before the fight; only Gaethje could win the vacant title.",high,ESPN,https://www.espn.com/mma/story/_/id/33867817/charles-oliveira-stripped-lightweight-belt-failing-make-weight-ufc-274,reviewed
manual-0020,9444cfe0c7c0f6a7,http://ufcstats.com/fight-details/9444cfe0c7c0f6a7,2018-02-10,UFC 221: Romero vs. Rockhold,Yoel Romero,Luke Rockhold,weight_miss,false,false,false,true,false,false,Yoel Romero,"Romero missed the interim middleweight title limit; bout continued but title context changed.",high,MMA Mania,https://www.mmamania.com/ufc-221-results-stream-fight-card-news-highlights-rockhold-romero-mma/2018/2/9/16998296/ufc-221-weigh-in-results-yoel-romero-misses-weight-by-three-pounds-mma,reviewed
manual-0021,5a09fd7cb3db9705,http://ufcstats.com/fight-details/5a09fd7cb3db9705,2018-06-09,UFC 225: Whittaker vs. Romero 2,Robert Whittaker,Yoel Romero,weight_miss,false,false,false,true,false,false,Yoel Romero,"Romero missed weight again, so Whittaker's title was not on the line for Romero.",high,ESPN,https://www.espn.com/mma/story/_/id/23735374/ufc-middleweight-yoel-romero-misses-weight-robert-whittaker-title-not-line-ufc-225-main-event,reviewed
manual-0022,cd117bfce747184f,http://ufcstats.com/fight-details/cd117bfce747184f,2018-05-27,UFC Fight Night: Thompson vs. Till,Stephen Thompson,Darren Till,weight_miss,false,false,false,true,false,false,Darren Till,"Till missed the welterweight limit by 3.5 pounds before winning a close decision.",high,ESPN,https://www.espn.co.uk/ufc/story/_/id/23625092/ufc-fight-night-liverpool-darren-defeats-stephen-wonderboy-thompson-unanimous-decision,reviewed
manual-0023,0111e6a64b5184c6,http://ufcstats.com/fight-details/0111e6a64b5184c6,2022-09-10,UFC 279: Diaz vs. Ferguson,Khamzat Chimaev,Kevin Holland,weight_miss,false,false,true,true,false,false,Khamzat Chimaev,"Chimaev's major weight miss caused the UFC 279 card to be reshuffled; Holland became the short-notice opponent.",high,ESPN,https://www.espn.com/mma/story/_/id/34557708/nate-diaz-tony-ferguson-khamzat-chimaev-kevin-holland-now-top-card,reviewed
manual-0024,860be3cc82895177,http://ufcstats.com/fight-details/860be3cc82895177,2021-10-23,UFC Fight Night: Costa vs. Vettori,Paulo Costa,Marvin Vettori,weight_issue,false,false,false,false,false,false,Paulo Costa,"Bout was moved from middleweight to light heavyweight after Costa's weight issue; not a standard official miss but should be flagged.",high,ESPN,https://www.espn.com/mma/story/_/id/32452422/ufc-fight-night-paulo-costa-vs-marvin-vettori-live-results-analysis,reviewed
manual-0025,3c683da1924b6c44,http://ufcstats.com/fight-details/3c683da1924b6c44,2025-12-06,UFC 323: Dvalishvili vs. Yan 2,Marvin Vettori,Brunno Ferreira,weight_miss,false,false,false,true,false,false,Brunno Ferreira,"Ferreira missed middleweight by three pounds; bout proceeded at catchweight with purse forfeiture.",high,MMA Fighting,https://www.mmafighting.com/ufc/459776/ufc-323-weigh-in-results-fighter-misses-weight-by-3-pounds-two-title-fights-official,reviewed
manual-0026,40fa4f8b4b93884e,http://ufcstats.com/fight-details/40fa4f8b4b93884e,2025-12-06,UFC 323: Dvalishvili vs. Yan 2,Muhammad Naimov,Mairon Santos,weight_miss,false,false,false,true,false,false,Mairon Santos,"Santos missed featherweight by 1.5 pounds; bout proceeded at catchweight with purse forfeiture.",high,MMA Fighting,https://www.mmafighting.com/ufc/459776/ufc-323-weigh-in-results-fighter-misses-weight-by-3-pounds-two-title-fights-official,reviewed
manual-0027,4ace70bff9debdfb,http://ufcstats.com/fight-details/4ace70bff9debdfb,2016-03-05,UFC 196: McGregor vs Diaz,Conor McGregor,Nate Diaz,short_notice_fight,false,false,true,false,true,false,Nate Diaz,"Diaz stepped in on short notice after Rafael dos Anjos withdrew; bout also shifted McGregor up to welterweight.",high,ESPN,https://www.espn.com/mma/story/_/id/14829338/rafael-dos-anjos-pulls-ufc-196-fight-vs-conor-mcgregor-broken-foot,reviewed
manual-0028,812ff38f0ed409ca,http://ufcstats.com/fight-details/812ff38f0ed409ca,2016-06-04,UFC 199: Rockhold vs. Bisping 2,Luke Rockhold,Michael Bisping,short_notice_fight,false,false,true,false,false,false,Michael Bisping,"Bisping replaced Chris Weidman on short notice and won the middleweight title.",high,ESPN,https://www.espn.com/mma/story/_/id/15592635/michael-bisping-replace-chris-weidman-fight-luke-rockhold-ufc-199,reviewed
manual-0029,d292243c6499b2fe,http://ufcstats.com/fight-details/d292243c6499b2fe,2020-07-11,UFC 251: Usman vs. Masvidal,Kamaru Usman,Jorge Masvidal,short_notice_fight,false,false,true,false,false,false,Jorge Masvidal,"Masvidal replaced Gilbert Burns on six days' notice for the welterweight title fight.",high,ESPN,https://www.espn.com/mma/story/_/id/29392790/kamaru-usman-vs-jorge-masvidal-how-watch-stream-plus-full-analysis,reviewed
manual-0030,424221c96ee13ceb,http://ufcstats.com/fight-details/424221c96ee13ceb,2016-07-09,UFC 200: Tate vs Nunes,Daniel Cormier,Anderson Silva,short_notice_fight,false,false,true,false,true,false,Anderson Silva,"Silva replaced Jon Jones on very short notice in a non-title light heavyweight bout.",high,ESPN,https://www.espn.com/mma/story/_/id/16876717/daniel-cormier-fight-anderson-silva-ufc-200-non-title-light-heavyweight-fight,reviewed
manual-0031,eab7b76e177e1903,http://ufcstats.com/fight-details/eab7b76e177e1903,2018-04-07,UFC 223: Khabib vs. Iaquinta,Khabib Nurmagomedov,Al Iaquinta,short_notice_fight,false,false,true,false,false,false,Al Iaquinta,"Iaquinta became the final short-notice title-fight opponent after multiple UFC 223 opponent changes.",high,ESPN,https://www.espn.com/mma/story/_/id/23030392/even-khabib-nurmagomedov-vs-al-iaquinta-there-were-short-notice-replacement-title-fights-ufc,reviewed
manual-0032,0ea435ddf02deb60,http://ufcstats.com/fight-details/0ea435ddf02deb60,2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Islam Makhachev,Alexander Volkanovski,short_notice_fight,false,false,true,false,true,false,Alexander Volkanovski,"Volkanovski replaced Charles Oliveira on 11 days' notice and moved up for a lightweight title rematch.",high,ESPN,https://www.espn.com/mma/story/_/id/38548685/ufc-294-islam-makhachev-vs-alexander-volkanovski-2-watch-stream-predictions,reviewed
manual-0033,f23e9729b2b73c27,http://ufcstats.com/fight-details/f23e9729b2b73c27,2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman,Khamzat Chimaev,short_notice_fight,false,false,true,false,true,false,Kamaru Usman,"Usman stepped in for Paulo Costa on short notice and made his UFC middleweight debut.",high,ESPN,https://www.espn.com/mma/story/_/id/38634557/with-costa-usman-steps-face-chimaev-ufc-294,reviewed
manual-0034,636fd144716a3084,http://ufcstats.com/fight-details/636fd144716a3084,2023-03-04,UFC 285: Jones vs. Gane,Jon Jones,Ciryl Gane,major_layoff,false,false,false,false,true,true,Jon Jones,"Jones returned after more than three years away and made his heavyweight debut to win the vacant heavyweight title.",high,ESPN,https://www.espn.com/mma/story/_/id/35785951/ufc-285-next-jon-jones-ciryl-gane-bo-nickal-more,reviewed
manual-0035,d361b51952944a26,http://ufcstats.com/fight-details/d361b51952944a26,2017-11-04,UFC 217: Bisping vs. St-Pierre,Michael Bisping,Georges St-Pierre,major_layoff,false,false,false,false,true,true,Georges St-Pierre,"St-Pierre came off a four-year layoff and moved to middleweight for an immediate title shot.",high,ESPN,https://www.espn.com/mma/story/_/id/21274006/ufc-217-preview-breakdown-georges-st-pierre-vs-michael-bisping,reviewed
manual-0036,85511ab7fd9ed061,http://ufcstats.com/fight-details/85511ab7fd9ed061,2019-01-19,UFC Fight Night: Cejudo vs. Dillashaw,Henry Cejudo,TJ Dillashaw,fighter_moving_divisions,false,false,false,false,true,false,TJ Dillashaw,"Bantamweight champion Dillashaw moved down to flyweight to challenge Cejudo.",high,ESPN,https://www.espn.com/mma/story/_/id/25788037/ufc-fight-night-cheat-sheet-tj-dillashaw-vs-henry-cejudo,reviewed
manual-0037,800a35b3a7e52308,http://ufcstats.com/fight-details/800a35b3a7e52308,2023-07-29,UFC 291: Poirier vs. Gaethje 2,Jan Blachowicz,Alex Pereira,fighter_moving_divisions,false,false,false,false,true,false,Alex Pereira,"Pereira made his UFC light heavyweight debut after losing the middleweight belt.",high,ESPN,https://www.espn.com/mma/story/_/id/38104296/big-questions-ufc-291-bellator-x-rizin-2-next-dustin-poirier-how-good-alex-pereira-205,reviewed
manual-0038,87126427cfcaee52,http://ufcstats.com/fight-details/87126427cfcaee52,2019-04-13,UFC 236: Holloway vs. Poirier 2,Max Holloway,Dustin Poirier,fighter_moving_divisions,false,false,false,false,true,false,Max Holloway,"Featherweight champion Holloway moved up for an interim lightweight title fight.",high,ESPN,https://www.espn.com/mma/story/_/id/26482554/max-holloway-sees-redemption-new-legacy-rematch-dustin-poirier,reviewed
manual-0039,72656e864ca1c972,http://ufcstats.com/fight-details/72656e864ca1c972,2014-09-27,UFC 178: Johnson vs Cariaso,Dominick Cruz,Takeya Mizugaki,major_layoff,false,false,false,false,false,true,Dominick Cruz,"Cruz returned from a roughly three-year injury layoff and finished Mizugaki quickly.",high,ESPN,https://www.espn.com/mma/story/_/id/13620405/dominick-cruz-challenge-tj-dillashaw-135-pound-title,reviewed
manual-0040,5737084215c45792,http://ufcstats.com/fight-details/5737084215c45792,2023-02-25,UFC Fight Night: Muniz vs. Allen,Tatiana Suarez,Montana De La Rosa,major_layoff,false,false,false,false,true,true,Tatiana Suarez,"Suarez returned from a long injury layoff and moved to flyweight for the comeback fight.",high,ESPN,https://www.espn.com/mma/story/_/id/35720775/ufc-questions-tatiana-suarez-return-title-contender-status-sean-omalley-stipe-miocic-next-title-shots,reviewed
manual-0041,2d7f29ec900a8948,http://ufcstats.com/fight-details/2d7f29ec900a8948,2019-10-12,UFC Fight Night: Joanna vs. Waterson,Mackenzie Dern,Amanda Ribas,major_layoff,false,false,false,false,false,true,Mackenzie Dern,"Dern returned from a 14-month layoff after pregnancy; useful as pregnancy/layoff context.",high,ESPN,https://www.espn.com/mma/story/_/id/27282829/dern-return-october-against-ribas,reviewed
manual-0042,01983cba42704c49,http://ufcstats.com/fight-details/01983cba42704c49,2019-02-17,UFC Fight Night: Ngannou vs. Velasquez,Francis Ngannou,Cain Velasquez,major_layoff,false,false,false,false,false,true,Cain Velasquez,"Velasquez returned from a 2.5-year layoff; the quick finish should be modeled with layoff context.",high,ESPN,https://www.espn.com/mma/story/_/id/26021530/francis-ngannou-ko-cain-velasquez-26-seconds,reviewed
manual-0043,a031f062b7ffefee,http://ufcstats.com/fight-details/a031f062b7ffefee,2026-04-11,UFC 327: Prochazka vs. Ulberg,Jiri Prochazka,Carlos Ulberg,injury_context,false,true,false,false,false,false,Carlos Ulberg,"Ulberg suffered an apparent serious leg/knee injury early, was visibly compromised, then knocked out Prochazka at 3:45 of round 1; UFCStats records only KO/TKO and misses the injury context.",high,ESPN,https://www.espn.com/mma/story/_/id/48463277/badly-hobbled-ulberg-stuns-prochazka-wild-ko-ufc-327,reviewed
